fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Derrick Krantz,19.5,30.5,2.0,14.0,3.5,2.0,17.5,0.5,1.5,51.5,64.0,4.0,0.0,0.5,0.5,217.0,0.3607843137254902,0.5
Derrick Lewis,22.233333333333334,24.666666666666668,0.3333333333333333,17.566666666666666,3.7,0.9666666666666667,8.666666666666666,4.1,9.466666666666667,43.7,46.666666666666664,1.2666666666666666,0.36666666666666664,0.0,0.13333333333333333,61.63333333333333,0.5085787769399516,0.3009259259259259
Derrick Noble,18.0,26.0,0.0,10.0,4.0,4.0,7.0,11.0,0.0,45.0,53.0,0.0,0.0,0.0,0.0,40.0,0.4,0.0
Desmond Green,49.142857142857146,54.714285714285715,1.4285714285714286,33.142857142857146,8.857142857142858,7.142857142857143,40.857142857142854,4.428571428571429,3.857142857142857,106.57142857142857,113.0,2.857142857142857,0.14285714285714285,0.0,0.0,49.857142857142854,0.49649195458258966,0.5
Devin Clark,34.588235294117645,82.05882352941177,1.6470588235294117,19.294117647058822,9.411764705882353,5.882352941176471,18.0,10.705882352941176,5.882352941176471,63.8235294117647,117.11764705882354,5.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,210.76470588235293,0.5382460380556198,0.34415584415584416
Devin Powell,33.75,55.25,0.0,10.75,8.75,14.25,25.5,4.5,3.75,81.0,105.5,1.25,0.25,0.5,0.25,36.75,0.42452711151429395,0.0
Devonte Smith,27.166666666666668,34.166666666666664,0.16666666666666666,15.666666666666666,6.166666666666667,5.333333333333333,19.5,5.0,2.6666666666666665,52.666666666666664,59.833333333333336,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,34.5,0.5331074660991932,0.5
Dhiego Lima,27.0,33.72727272727273,0.7272727272727273,17.181818181818183,4.454545454545454,5.363636363636363,20.818181818181817,1.0,5.181818181818182,69.18181818181819,77.45454545454545,2.090909090909091,0.18181818181818182,0.36363636363636365,0.0,76.72727272727273,0.4377584768251248,0.18055555555555555
Diana Belbita,70.125,84.25,0.625,39.375,18.375,12.375,58.0,10.25,1.875,167.375,183.125,1.0,0.125,0.0,0.125,50.875,0.42494863598511273,0.6
Diego Brandao,23.3,36.2,1.7,15.9,4.8,2.6,16.2,2.6,4.5,48.6,63.6,2.5,0.3,0.3,0.0,118.3,0.49779568836092974,0.6261904761904761
Diego Ferreira,45.64705882352941,58.11764705882353,0.5294117647058824,32.23529411764706,9.941176470588236,3.4705882352941178,35.411764705882355,2.9411764705882355,7.294117647058823,114.76470588235294,129.52941176470588,1.7647058823529411,0.17647058823529413,0.35294117647058826,0.29411764705882354,68.41176470588235,0.43289092115684996,0.26623376623376627
Diego Lopes,46.0,56.25,0.625,35.0,4.625,6.375,29.625,3.875,12.5,94.75,106.625,1.125,0.625,1.0,0.125,81.625,0.4935509536582119,0.5208333333333333
Diego Nunes,44.333333333333336,47.833333333333336,0.8333333333333334,18.166666666666668,12.166666666666666,14.0,30.5,9.833333333333334,4.0,100.0,104.5,1.5,0.5,0.0,0.0,112.5,0.4574927407755875,0.5
Diego Rivas,17.25,27.0,1.5,9.0,3.75,4.5,10.5,4.0,2.75,42.75,54.25,2.5,0.25,0.75,1.0,155.5,0.44101989575387746,0.7666666666666666
Diego Sanchez,33.0625,44.5625,1.125,22.8125,7.8125,2.4375,19.125,3.5,10.4375,88.53125,101.90625,5.1875,0.1875,0.5625,0.09375,186.3125,0.41846210639503933,0.3024936868686869
Diego Saraiva,24.666666666666668,69.33333333333333,1.3333333333333333,20.666666666666668,2.0,2.0,19.666666666666668,1.3333333333333333,3.6666666666666665,75.66666666666667,122.0,3.3333333333333335,0.0,0.6666666666666666,0.3333333333333333,160.0,0.3706636892397175,0.25
Dieusel Berto,3.0,9.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0
Dileno Lopes,35.5,54.0,2.5,23.0,10.5,2.0,24.0,10.0,1.5,98.0,122.0,8.0,0.0,1.5,0.0,236.0,0.35468733523146684,0.4583333333333333
Din Thomas,20.22222222222222,48.333333333333336,1.0,16.333333333333332,2.2222222222222223,1.6666666666666667,11.333333333333334,6.666666666666667,2.2222222222222223,53.666666666666664,84.0,1.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,149.66666666666666,0.35364885868537965,0.6285714285714287
Dione Barbosa,29.5,59.0,1.75,18.5,8.0,3.0,25.75,2.5,1.25,65.0,99.75,4.5,0.0,1.0,0.5,164.0,0.46236594189362523,0.6079545454545454
Diyar Nurgozhay,12.0,16.5,1.5,3.0,5.0,4.0,11.5,0.5,0.0,25.0,30.5,1.5,0.0,0.0,0.0,33.5,0.5361305361305362,1.0
Djorden Santos,131.0,134.0,1.0,115.0,8.0,8.0,130.0,0.0,1.0,345.0,348.0,3.0,0.0,0.0,0.0,26.0,0.37971014492753624,0.3333333333333333
Dmitri Stepanov,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dmitrii Smoliakov,6.666666666666667,31.666666666666668,0.0,3.6666666666666665,2.3333333333333335,0.6666666666666666,4.0,2.3333333333333335,0.3333333333333333,15.666666666666666,44.333333333333336,1.3333333333333333,0.0,0.0,0.0,0.0,0.4150326797385621,0.0
Dmitry Sosnovskiy,28.0,53.0,2.0,22.0,5.0,1.0,10.0,5.0,13.0,40.0,71.0,3.0,0.0,2.0,1.0,252.0,0.7,0.6666666666666666
Dokonjonosuke Mishima,3.5,17.0,1.0,2.0,1.0,0.5,1.5,1.0,1.0,20.5,35.5,5.5,0.0,1.0,0.0,100.0,0.18333333333333335,0.55
Domingo Pilarte,5.0,62.333333333333336,0.6666666666666666,2.3333333333333335,2.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,0.3333333333333333,12.0,84.0,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,153.0,0.3488455988455989,0.4
Dominic Waters,5.333333333333333,23.666666666666668,3.0,4.333333333333333,1.0,0.0,4.333333333333333,0.3333333333333333,0.6666666666666666,23.0,42.0,5.666666666666667,0.0,0.0,0.0,271.3333333333333,0.21639150943396226,0.6666666666666666
Dominick Cruz,78.0,93.8,2.8,51.8,14.1,12.1,69.3,5.3,3.4,205.3,223.7,8.8,0.1,0.1,0.2,135.8,0.4220999949347841,0.3245263508421403
Dominick Reyes,39.57142857142857,45.42857142857143,0.14285714285714285,22.928571428571427,9.571428571428571,7.071428571428571,29.0,4.285714285714286,6.285714285714286,73.07142857142857,80.71428571428571,0.5,0.5,0.14285714285714285,0.0,35.357142857142854,0.5470838505603468,0.4
Dominique Steele,27.8,50.0,2.2,19.8,6.6,1.4,11.6,9.6,6.6,57.2,81.0,6.0,0.4,0.0,0.0,252.8,0.5854927807066855,0.37987012987012986
Don Frye,12.7,41.0,0.4,7.3,5.1,0.3,1.4,3.7,7.6,19.1,49.1,0.6,0.1,0.3,0.2,0.0,0.5935293546169252,0.8
Don Madge,21.0,57.0,1.5,12.5,6.0,2.5,10.0,3.0,8.0,40.0,82.0,6.0,1.0,0.5,0.0,303.5,0.5529953917050691,0.25
Don Shainis,26.5,68.5,0.5,13.0,10.0,3.5,15.0,8.0,3.5,52.5,98.0,2.0,0.0,1.0,1.0,73.5,0.7450980392156863,0.16666666666666666
Don'Tale Mayes,35.083333333333336,57.416666666666664,0.5833333333333334,19.25,10.083333333333334,5.75,30.0,4.166666666666667,0.9166666666666666,85.25,111.58333333333333,1.25,0.16666666666666666,0.0,0.0,98.08333333333333,0.42793722451909927,0.20833333333333334
Donald Cerrone,46.0,50.81578947368421,0.631578947368421,23.5,11.631578947368421,10.868421052631579,38.89473684210526,3.973684210526316,3.1315789473684212,97.13157894736842,102.71052631578948,2.1842105263157894,0.5263157894736842,0.2894736842105263,0.10526315789473684,60.94736842105263,0.4794024270283717,0.3723356009070295
Dong Hyun Kim,23.555555555555557,64.33333333333333,2.1666666666666665,18.166666666666668,2.4444444444444446,2.9444444444444446,8.61111111111111,4.666666666666667,10.277777777777779,48.05555555555556,92.0,4.944444444444445,0.2222222222222222,0.4444444444444444,0.1111111111111111,328.6666666666667,0.5173268008673512,0.5068452380952381
Dong Hyun Ma,29.375,46.5,0.875,20.25,4.0,5.125,23.125,4.0,2.25,70.875,89.625,1.625,0.125,0.0,0.125,100.0,0.4090861961251331,0.5
DongHun Choi,12.0,12.0,0.0,6.0,2.0,4.0,12.0,0.0,0.0,19.0,19.0,0.0,1.0,0.0,0.0,1.0,0.631578947368421,0.0
Dongi Yang,43.8,70.8,1.4,31.4,6.2,6.2,29.0,2.0,12.8,85.6,120.8,3.4,0.4,0.4,0.2,157.8,0.554475550436571,0.52
Donnie Chappell,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donny Walker,16.0,43.0,0.0,7.5,2.0,6.5,13.5,1.0,1.5,43.0,71.5,0.0,0.0,1.0,0.0,189.0,0.35341365461847385,0.0
Dooho Choi,38.22222222222222,48.333333333333336,0.7777777777777778,25.88888888888889,7.111111111111111,5.222222222222222,28.555555555555557,4.0,5.666666666666667,67.77777777777777,79.55555555555556,1.4444444444444444,0.4444444444444444,0.3333333333333333,0.1111111111111111,102.0,0.5920958778318637,0.5555555555555555
Dorian Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Evans,21.0,44.0,2.5,13.0,5.5,2.5,11.0,9.0,1.0,58.5,84.5,3.0,0.0,0.5,0.5,112.0,0.3627450980392157,0.9
Douglas Silva de Andrade,44.30769230769231,51.92307692307692,0.46153846153846156,23.153846153846153,10.307692307692308,10.846153846153847,40.84615384615385,2.5384615384615383,0.9230769230769231,116.07692307692308,124.46153846153847,1.0769230769230769,0.46153846153846156,0.15384615384615385,0.07692307692307693,44.07692307692308,0.39985063432488194,0.38333333333333336
Drakkar Klose,49.38461538461539,79.6923076923077,1.1538461538461537,26.153846153846153,13.846153846153847,9.384615384615385,29.23076923076923,16.153846153846153,4.0,89.6923076923077,124.15384615384616,4.3076923076923075,0.15384615384615385,0.0,0.07692307692307693,163.84615384615384,0.5835299111249879,0.3742424242424242
Drako Rodriguez,33.0,36.5,1.5,25.5,1.5,6.0,28.5,4.0,0.5,92.0,95.5,2.5,0.0,0.0,0.0,37.0,0.3487858719646799,0.6
Drew Dober,35.56,44.76,0.36,22.92,8.0,4.64,27.68,4.2,3.68,88.28,98.6,2.08,0.36,0.04,0.04,70.2,0.40737976293909767,0.1714285714285714
Drew Fickett,22.142857142857142,44.285714285714285,0.8571428571428571,10.571428571428571,7.714285714285714,3.857142857142857,8.142857142857142,7.142857142857143,6.857142857142857,53.285714285714285,78.85714285714286,2.2857142857142856,0.14285714285714285,1.1428571428571428,0.14285714285714285,100.85714285714286,0.3697067404548026,0.5523809523809524
